EV Chart,1 Floors,2 Floors,3 Floors,4 Floors,5 Floors,6 Floors,7 Floors,8 Floors,9 Floors,10 Floors,11 Floors,12 Floors,13 Floors,14 Floors,15 Floors,16 Floors,17 Floors,18 Floors,19 Floors,20 Floors,21 Floors,22 Floors,23 Floors,24 Floors,25 Floors,26 Floors,27 Floors,28 Floors,29 Floors,30 Floors,31 Floors,32 Floors,33 Floors,34 Floors,35 Floors,36 Floors,37 Floors,38 Floors,39 Floors,40 Floors,41 Floors,42 Floors,43 Floors,44 Floors,45 Floors,46 Floors,47 Floors,48 Floors,49 Floors,50 Floors,51 Floors,52 Floors,53 Floors,54 Floors,55 Floors,56 Floors,57 Floors,58 Floors,59 Floors,60 Floors,61 Floors,62 Floors,63 Floors,64 Floors,65 Floors,66 Floors,67 Floors,68 Floors,69 Floors,70 Floors,71 Floors,72 Floors,73 Floors,74 Floors,75 Floors,76 Floors,77 Floors,78 Floors,79 Floors,80 Floors,81 Floors,82 Floors,83 Floors,84 Floors,85 Floors,86 Floors,87 Floors,88 Floors,89 Floors,90 Floors,91 Floors,92 Floors,93 Floors,94 Floors,95 Floors,96 Floors,97 Floors,98 Floors,99 Floors,100 Floors
63 People,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,23,24,25,25,26,26,27,28,28,29,29,30,30,31,32,32,33,33,33,34,34,34,35,35,36,36,36,36,37,37,38,38,38,38,39,39,40,39,40,39,40,40,41,41,41,41,41,42,42,42,42,43,42,43,43,43,44,44,44,44,44,45,45,45,45,45,45,46,45,46,46,46,46,46,46
64 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,23,24,25,26,26,27,28,28,29,29,29,30,30,31,32,32,32,33,34,34,34,34,35,35,36,36,36,37,37,37,38,38,38,38,39,40,39,40,40,40,40,41,41,41,42,42,42,43,43,42,43,43,43,43,43,44,44,44,45,45,45,45,45,45,46,46,45,46,46,46,46,47,46,47,46
65 People,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,23,24,24,25,26,26,27,27,28,28,29,30,30,31,31,32,32,33,34,34,34,34,35,35,36,36,36,37,37,37,38,38,38,38,39,39,40,40,40,41,41,40,42,41,41,42,42,43,43,43,43,43,43,44,44,44,45,44,45,45,45,45,45,46,46,46,47,47,47,46,47,47,47,47,47,47
66 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,23,23,25,25,26,26,27,27,28,29,29,30,30,31,32,32,33,33,33,34,34,35,35,35,36,36,37,37,37,38,38,39,39,39,40,40,40,40,41,41,41,41,41,43,42,42,43,43,43,43,44,44,44,44,44,45,44,45,46,45,46,46,46,46,46,47,47,46,47,47,47,48,47,48,47,48
67 People,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,24,24,25,26,26,27,28,28,29,29,30,30,31,31,32,33,33,34,34,34,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,42,43,42,43,43,44,44,44,45,44,45,45,45,45,46,46,46,46,46,47,47,46,47,47,47,47,47,48,48,48,48,49,49
68 People,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,19,20,21,21,22,23,24,25,25,26,26,27,28,29,29,30,30,31,31,32,32,33,33,34,35,34,35,36,36,37,37,37,38,38,38,39,39,40,40,40,40,41,41,42,41,42,42,42,43,42,43,43,44,44,44,45,44,45,45,45,45,46,46,46,47,46,46,47,47,47,47,47,48,48,48,49,48,48,49,49,48
69 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,23,24,24,25,26,27,27,28,29,29,30,30,31,31,32,33,33,33,34,35,35,35,36,37,37,37,38,38,38,39,39,40,40,40,40,41,41,42,42,42,42,43,42,43,43,43,44,44,44,45,45,45,45,45,46,46,47,46,47,47,47,47,47,48,48,48,48,48,49,48,49,49,49,49,49,49
70 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,23,24,25,25,26,27,27,28,29,30,30,31,31,32,32,33,33,34,34,35,35,35,36,36,37,37,38,39,38,39,39,39,40,40,41,41,41,42,42,42,42,43,43,43,44,44,44,45,44,45,45,45,45,46,46,46,46,47,47,47,47,48,48,48,48,48,49,49,49,49,49,49,50,50,49,50
71 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22,23,24,25,25,26,27,28,28,29,29,30,31,31,31,33,33,33,34,34,35,36,36,36,37,37,38,38,39,39,40,40,40,40,41,41,42,42,42,42,43,43,43,44,44,44,44,44,46,45,45,45,46,46,46,47,47,48,47,47,48,48,48,48,48,49,48,49,49,50,50,50,49,50,50,51,50
72 People,1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,22,23,24,25,25,26,27,28,28,29,29,30,31,32,32,32,33,33,34,35,35,35,36,37,37,38,38,38,38,39,39,40,40,41,41,41,42,42,42,43,42,44,44,44,44,44,45,45,45,45,46,46,46,47,47,47,47,47,48,48,48,48,49,48,49,49,49,49,50,50,50,50,50,51,51,51,51
73 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,25,26,27,28,28,29,30,30,31,31,32,33,33,33,34,35,36,36,36,37,37,38,38,38,39,39,40,40,41,41,41,41,42,42,42,43,43,44,44,44,45,45,45,46,46,46,46,47,46,47,47,47,47,47,48,48,48,49,49,50,49,50,49,50,50,50,50,51,51,51,51,51,52
74 People,1,2,3,4,5,6,7,8,9,9,11,11,12,13,14,15,16,17,18,19,20,21,22,22,23,24,25,26,26,27,28,28,29,30,31,31,31,32,33,33,34,34,35,36,36,37,37,37,38,39,39,39,40,40,41,41,41,41,42,42,43,43,43,44,44,44,44,45,45,46,46,46,46,46,46,47,47,48,48,48,48,48,49,49,49,50,50,49,50,50,51,51,51,51,51,51,52,52,52,52
75 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,26,27,28,29,29,30,31,31,32,33,33,34,34,35,35,36,36,37,37,38,38,38,39,39,40,40,41,41,42,42,42,43,43,43,43,44,45,44,45,45,46,46,46,47,47,47,47,47,47,48,48,48,49,49,49,49,49,49,50,51,50,50,51,51,51,51,52,52,52,52,52,52
76 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,26,27,28,29,29,30,31,31,32,33,33,34,34,35,36,36,36,37,37,38,38,39,39,39,41,40,41,41,42,42,42,43,43,43,44,44,45,45,45,45,45,46,46,47,47,47,48,48,48,48,48,49,49,49,50,50,50,50,50,51,51,51,51,52,52,52,52,52,52,53,53,52
77 People,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24,25,26,27,27,28,29,29,30,31,31,32,33,33,34,34,35,36,36,37,37,38,38,39,39,39,40,40,40,41,41,42,42,43,43,44,44,44,45,45,45,46,46,46,47,46,47,48,47,48,48,48,48,49,49,50,50,50,50,50,51,51,51,51,51,51,52,52,52,53,53,53,53,53,54
78 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,24,25,26,27,27,28,29,30,30,31,32,32,32,33,34,35,35,35,36,37,37,37,38,39,39,40,40,40,41,41,42,43,42,43,43,44,44,44,45,45,45,46,46,47,47,47,47,48,48,48,48,49,49,49,49,50,50,50,50,51,51,51,51,52,52,52,52,53,53,53,53,53,54,53,54
79 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,24,25,26,27,27,28,29,29,30,31,32,32,33,34,34,35,35,36,36,37,38,38,38,39,40,40,40,41,41,41,42,43,43,43,44,44,45,44,45,45,46,46,47,47,47,47,48,48,48,49,49,49,49,50,50,50,51,50,51,51,51,52,52,52,52,52,53,53,53,54,53,54,54,54,54
80 People,1,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,17,18,19,20,21,22,23,24,24,25,26,27,28,28,29,30,30,31,32,32,33,34,34,35,36,36,36,37,37,38,39,39,40,40,40,41,41,42,42,43,43,44,44,44,45,45,45,46,46,46,47,47,47,48,48,48,48,49,50,50,50,50,50,50,51,51,51,51,52,52,52,53,52,52,53,53,54,53,54,54,54,54,55
81 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,25,26,27,28,28,29,30,30,31,32,33,33,34,34,35,35,36,37,37,38,38,39,40,39,40,41,41,42,42,42,43,43,44,44,44,45,45,46,46,46,47,47,47,47,48,48,48,49,49,50,50,50,50,51,51,51,51,52,52,52,53,52,53,53,53,53,53,54,54,54,55,55,55,55
82 People,1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,25,26,27,28,28,29,30,31,31,32,33,33,34,34,35,35,37,37,37,38,38,39,39,40,40,41,41,42,42,43,43,43,44,45,45,45,46,45,46,46,47,47,47,48,48,49,49,49,49,50,50,51,51,51,51,52,52,52,52,53,52,54,53,54,54,54,54,54,54,55,55,55,56,56
83 People,1,2,3,4,5,6,7,8,9,9,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,24,25,26,27,28,28,29,30,31,31,32,33,33,34,35,35,35,36,37,37,38,39,39,40,40,41,42,42,42,43,42,43,44,44,45,45,45,46,46,46,47,47,48,48,48,48,49,50,49,50,50,50,51,51,51,52,53,52,52,53,53,53,53,54,54,54,54,55,55,55,55,56,55,57,56
84 People,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,16,17,18,19,20,21,22,23,24,25,25,26,27,28,29,29,30,31,31,32,33,34,34,35,36,36,37,37,37,38,39,39,40,40,41,41,42,42,42,43,44,44,45,45,45,46,46,46,46,47,47,48,49,49,49,50,50,50,51,51,51,51,52,52,52,52,52,53,53,53,54,54,54,55,54,55,55,55,56,55,55,56,56,57
85 People,1,2,3,4,5,6,7,8,9,10,11,11,13,13,14,15,16,17,18,19,20,21,22,23,24,25,25,26,27,28,29,29,30,31,32,32,33,33,34,35,36,36,37,38,38,39,39,39,40,41,41,42,42,42,43,43,44,44,45,45,45,46,46,47,47,47,48,48,49,49,49,49,50,50,50,51,51,51,52,52,52,52,53,53,53,54,54,54,54,55,55,55,55,55,56,56,56,56,57,57
86 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,26,27,28,29,29,30,31,32,32,33,34,34,35,35,36,37,37,38,38,39,40,40,41,41,42,42,43,43,44,44,45,45,45,46,46,47,47,47,48,48,49,49,49,49,50,50,50,51,51,52,52,52,52,53,53,53,53,54,54,54,55,55,55,55,56,56,56,56,56,57,56,57,57
87 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,26,27,28,29,29,30,31,32,32,33,34,35,35,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,45,45,45,45,46,47,47,47,47,48,49,49,49,49,50,50,50,51,52,51,52,52,52,53,53,53,53,54,54,54,55,55,55,55,56,56,57,56,57,57,57,57,57,58
88 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,25,26,27,28,29,30,30,31,32,32,33,34,35,35,36,37,37,38,38,39,39,40,41,41,42,42,43,43,44,44,45,45,45,46,46,47,47,47,48,48,49,49,49,50,50,50,51,51,52,52,52,53,53,53,54,53,54,55,54,55,56,55,55,56,56,56,57,57,57,57,58,58,58,58
89 People,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,16,17,18,19,20,21,22,23,24,25,25,26,27,28,29,30,30,31,32,32,33,34,34,35,36,36,37,38,39,39,39,40,41,41,41,42,43,43,44,44,45,45,46,46,47,47,47,48,49,48,49,49,49,50,50,51,51,52,52,52,52,53,53,53,54,54,55,54,55,55,55,56,55,56,56,57,58,57,57,58,58,58,58,59
90 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,26,27,28,29,30,31,31,32,32,33,34,35,35,36,37,37,38,39,39,39,40,41,41,42,43,43,43,44,44,45,45,46,47,47,47,48,48,48,49,49,50,50,50,51,51,52,51,52,53,53,54,53,54,54,54,55,55,55,56,56,57,56,57,56,57,57,58,58,58,58,59,58,59
91 People,1,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,30,31,32,33,33,34,35,36,36,37,38,38,39,39,40,40,41,41,42,43,43,44,44,45,45,46,47,46,47,47,47,48,49,49,49,50,50,51,51,51,52,52,52,53,53,53,54,55,54,55,55,56,55,55,56,56,57,57,57,57,58,58,58,58,58,59,59,59
92 People,1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,31,32,33,33,34,35,36,36,37,37,38,38,39,40,41,41,42,43,43,43,44,44,44,45,46,46,47,47,47,48,48,49,49,50,50,50,51,51,51,52,52,53,53,53,54,54,54,54,55,55,56,56,56,56,57,57,57,57,58,58,58,59,59,59,60,60,60
93 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,31,32,33,34,34,35,36,36,37,38,38,39,40,40,41,41,42,43,43,44,44,45,45,45,46,47,47,47,48,49,49,49,50,51,51,51,51,52,52,53,53,53,53,54,54,55,55,55,55,56,56,56,56,57,57,57,57,58,59,58,58,59,59,59,60,60,61
94 People,1,2,3,4,5,6,7,8,9,10,11,12,12,14,15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,32,33,34,35,35,36,36,37,38,38,39,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,49,50,50,51,50,51,51,52,53,53,53,54,54,54,55,55,55,56,56,56,57,57,57,57,58,58,58,59,58,59,60,60,60,61,60,61
95 People,1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,32,32,33,34,34,35,36,37,37,38,38,39,40,41,41,42,42,43,44,44,44,45,45,46,46,47,47,48,48,48,49,50,50,51,51,51,52,52,52,53,53,54,54,54,55,55,56,56,56,57,56,57,57,58,57,58,58,58,59,59,59,60,60,60,61,61,61
96 People,1,2,3,4,5,6,7,8,9,10,11,11,12,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,32,32,33,34,35,35,36,37,37,38,39,39,40,41,41,41,42,43,43,44,45,45,46,46,47,47,48,48,49,49,50,50,50,50,52,51,52,52,53,53,54,54,54,55,55,55,56,56,56,57,57,57,58,58,58,58,58,59,59,60,60,60,60,61,61,61,62
97 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,32,33,34,35,35,36,37,38,38,39,39,40,40,41,42,42,43,43,44,45,45,46,46,47,48,48,48,49,49,49,50,51,51,51,52,53,53,53,53,54,54,54,55,55,56,56,56,56,57,57,58,58,58,59,59,60,59,60,61,60,60,60,61,61,62,62
98 People,1,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,31,32,33,33,34,35,36,36,37,38,38,39,40,40,41,41,42,42,43,44,44,45,45,46,46,48,48,48,48,49,49,50,50,51,51,52,52,53,52,54,54,54,55,54,55,55,56,56,57,57,58,57,58,59,59,59,59,60,60,60,60,60,61,61,61,62,62,62
99 People,1,2,3,4,5,6,7,8,9,10,11,11,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,31,32,33,33,34,35,35,36,37,38,38,39,40,40,41,41,42,43,43,44,44,45,45,46,46,47,47,48,49,49,50,50,50,51,51,52,52,53,53,54,54,54,55,55,56,56,56,56,57,57,57,57,58,58,59,59,60,59,60,60,60,60,61,62,62,62,63,63
100 People,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,16,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,32,33,34,35,36,37,37,38,39,39,40,40,41,42,42,43,44,44,44,45,45,46,47,47,48,48,49,50,50,50,51,51,52,52,52,53,53,54,54,54,55,55,56,56,57,57,57,58,58,58,59,58,59,59,60,60,60,61,61,61,61,61,62,62,62,63
